Point(X = 2318972.297, Y = 5807555.732, Z = 1638.087)
Point(X = 2318989.252, Y = 5807528.401, Z = 1637.900)
Point(X = 2319004.146, Y = 5807502.920, Z = 1637.729)
Point(X = 2319032.765, Y = 5807457.152, Z = 1637.419)
Point(X = 2319034.486, Y = 5807453.852, Z = 1637.397)
Point(X = 2319046.525, Y = 5807441.840, Z = 1637.301)
Point(X = 2319054.341, Y = 5807437.548, Z = 1637.210)
Point(X = 2319060.837, Y = 5807433.859, Z = 1637.164)
Point(X = 2319067.379, Y = 5807430.404, Z = 1637.092)
Point(X = 2319078.279, Y = 5807424.377, Z = 1637.020)
Point(X = 2319083.754, Y = 5807421.591, Z = 1636.984)
Point(X = 2319092.497, Y = 5807417.514, Z = 1636.929)
Point(X = 2319099.944, Y = 5807413.973, Z = 1636.881)
Point(X = 2319114.482, Y = 5807407.132, Z = 1636.789)
Point(X = 2319126.191, Y = 5807401.673, Z = 1636.653)
Point(X = 2319180.317, Y = 5807380.743, Z = 1636.189)
Point(X = 2319185.320, Y = 5807379.865, Z = 1636.106)
Point(X = 2319223.491, Y = 5807380.009, Z = 1635.312)
Point(X = 2319232.959, Y = 5807381.035, Z = 1635.059)
Point(X = 2319414.800, Y = 5807553.880, Z = 1633.730)
Point(X = 2319481.431, Y = 5807626.740, Z = 1633.125)
