Point(X = 2319209.921, Y = 5807229.043, Z = 1636.389)
Point(X = 2319211.995, Y = 5807235.790, Z = 1636.281)
Point(X = 2319214.411, Y = 5807245.881, Z = 1636.187)
Point(X = 2319218.990, Y = 5807265.349, Z = 1636.006)
Point(X = 2319222.917, Y = 5807284.956, Z = 1635.825)
Point(X = 2319226.047, Y = 5807301.721, Z = 1635.671)
Point(X = 2319227.134, Y = 5807309.180, Z = 1635.647)
Point(X = 2319229.522, Y = 5807318.172, Z = 1635.573)
Point(X = 2319230.719, Y = 5807323.122, Z = 1635.532)
Point(X = 2319234.688, Y = 5807343.748, Z = 1635.364)
Point(X = 2319237.269, Y = 5807357.717, Z = 1635.251)
Point(X = 2319237.451, Y = 5807358.700, Z = 1634.862)
Point(X = 2319238.171, Y = 5807362.588, Z = 1634.830)
Point(X = 2319241.002, Y = 5807377.491, Z = 1634.709)
Point(X = 2319241.832, Y = 5807381.221, Z = 1634.709)
