Point(X = 2319250.783, Y = 5806154.182, Z = 1634.011)
Point(X = 2319242.543, Y = 5806169.621, Z = 1634.140)
Point(X = 2319348.101, Y = 5806224.883, Z = 1634.305)
Point(X = 2319367.824, Y = 5806234.474, Z = 1634.129)
Point(X = 2319385.810, Y = 5806243.221, Z = 1634.065)
Point(X = 2319403.796, Y = 5806251.967, Z = 1634.001)
Point(X = 2319421.782, Y = 5806260.714, Z = 1633.937)
Point(X = 2319439.767, Y = 5806269.461, Z = 1633.873)
Point(X = 2319459.452, Y = 5806279.034, Z = 1633.803)
Point(X = 2319467.777, Y = 5806283.066, Z = 1633.773)
Point(X = 2319475.822, Y = 5806286.781, Z = 1633.745)
Point(X = 2319493.987, Y = 5806295.150, Z = 1633.681)
Point(X = 2319511.908, Y = 5806304.014, Z = 1633.617)
Point(X = 2319529.205, Y = 5806314.047, Z = 1633.553)
Point(X = 2319545.672, Y = 5806325.394, Z = 1633.489)
Point(X = 2319561.272, Y = 5806337.896, Z = 1633.425)
Point(X = 2319574.696, Y = 5806352.536, Z = 1633.361)
Point(X = 2319582.839, Y = 5806370.773, Z = 1633.297)
Point(X = 2319588.704, Y = 5806389.886, Z = 1633.233)
Point(X = 2319591.530, Y = 5806403.555, Z = 1633.188)
Point(X = 2319593.033, Y = 5806409.334, Z = 1633.140)
Point(X = 2319595.782, Y = 5806410.473, Z = 1633.116)
Point(X = 2319607.529, Y = 5806412.227, Z = 1632.959)
Point(X = 2319615.510, Y = 5806415.956, Z = 1632.882)
Point(X = 2319623.257, Y = 5806420.964, Z = 1632.693)
